,evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing
0,6034,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
1,6065,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
2,6100,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
3,6155,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
4,1315,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
5,1573,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Paid
6,1686,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
7,1717,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
8,1728,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
9,1789,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
10,1953,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
11,591,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Undesignated
12,840,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Paid
13,1263,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
14,5288,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
15,5298,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
16,5314,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
17,5304,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
18,5306,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
19,5327,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
20,5368,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
21,13993,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
22,14005,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
23,26685,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
24,26525,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
25,26531,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
26,22522,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
27,22525,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
28,26936,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
29,26938,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
30,23066,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Undesignated
31,22950,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated
32,29969,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
33,29902,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
34,30241,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
35,30242,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
