,session_id,evse_id,connector_id,start_datetime,end_datetime,total_duration,charge_duration,energy_kwh,start_soc,end_soc,flag_id
0,31033,145,277,2020-09-24 11:06:29,2020-09-24 11:24:03,0.2927777777777778,0.2830555555555555,5.8,44.0,80.0,0
1,31035,145,277,2020-09-22 07:56:26,2020-09-22 08:21:48,0.4227777777777777,0.4166666666666667,8.7,54.0,80.0,0
2,31036,145,277,2020-09-21 07:56:59,2020-09-21 08:22:04,0.4180555555555555,0.4122222222222222,8.3,34.0,60.0,0
3,31037,145,277,2020-09-18 13:25:59,2020-09-18 13:48:25,0.3738888888888889,0.3677777777777777,7.5,43.0,65.0,0
4,31041,145,277,2020-09-10 08:06:55,2020-09-10 08:21:03,0.2355555555555555,0.2294444444444444,4.8,63.0,76.0,0
5,31045,145,277,2020-09-01 07:58:35,2020-09-01 08:19:18,0.3452777777777778,0.3388888888888889,6.9,49.0,70.0,0
6,31050,145,277,2020-08-23 07:49:02,2020-08-23 08:21:04,0.533888888888889,0.5275000000000001,10.8,38.0,72.0,0
7,31054,145,277,2020-08-21 14:15:16,2020-08-21 14:48:47,0.5586111111111112,0.5527777777777778,10.7,12.0,45.0,0
8,31057,145,277,2020-08-20 07:45:35,2020-08-20 08:19:06,0.5586111111111112,0.5522222222222223,11.6,54.0,87.0,0
9,31059,145,277,2020-08-17 07:26:54,2020-08-17 07:53:39,0.4458333333333333,0.4394444444444444,9.0,47.0,74.0,0
10,31063,145,277,2020-08-14 07:40:12,2020-08-14 07:50:28,0.1711111111111111,0.165,3.3,49.0,58.0,0
11,31064,145,277,2020-08-13 15:29:14,2020-08-13 15:59:17,0.5008333333333334,0.495,9.3,30.0,61.0,0
12,31065,145,277,2020-08-13 03:20:05,2020-08-13 03:37:00,0.2819444444444445,0.2738888888888889,5.6,46.0,79.0,0
13,31066,145,277,2020-08-11 09:31:43,2020-08-11 09:52:00,0.3380555555555555,0.3261111111111111,6.7,100.0,80.0,4
14,31069,145,277,2020-08-04 09:08:44,2020-08-04 09:20:22,0.1938888888888889,0.1838888888888888,3.7,51.0,74.0,0
15,31070,145,277,2020-08-04 07:27:21,2020-08-04 07:48:00,0.3441666666666667,0.3388888888888889,5.3,78.0,94.0,0
16,31071,145,277,2020-08-03 07:33:17,2020-08-03 07:53:25,0.3355555555555555,0.3294444444444444,7.0,67.0,87.0,0
17,31073,145,277,2020-08-01 07:42:49,2020-08-01 07:55:07,0.205,0.1988888888888889,4.1,61.0,74.0,0
18,31076,145,277,2020-07-31 07:34:23,2020-07-31 07:52:27,0.3011111111111111,0.295,6.0,47.0,67.0,0
19,31084,145,277,2020-07-23 08:34:31,2020-07-23 09:22:14,0.7952777777777778,0.7872222222222223,13.8,34.0,97.0,0
20,31085,145,277,2020-07-22 08:40:39,2020-07-22 08:53:31,0.2144444444444444,0.2083333333333333,4.1,36.0,50.0,0
21,31088,145,277,2020-07-11 13:36:32,2020-07-11 13:52:53,0.2725,0.2666666666666667,5.4,50.0,65.0,0
22,31089,145,277,2020-07-06 13:02:50,2020-07-06 13:24:24,0.3594444444444444,0.3530555555555555,7.3,54.0,74.0,0
