,id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
0,553260,243,2019-08-31 21:20:00,2019-08-31 21:40:00,0.3277777777777778,0.7744,10.0,20.0,1.0,0
1,553263,259,2019-09-03 10:40:00,2019-09-03 10:50:00,0.1388888888888889,1.0374,20.0,25.0,1.0,0
2,553264,259,2019-09-03 11:30:00,2019-09-03 12:10:00,0.6833333333333333,1.0374,15.0,25.0,1.0,0
3,553265,259,2019-09-03 14:30:00,2019-09-03 14:40:00,0.2661111111111111,0.6006,15.0,20.0,1.0,0
4,553270,224,2019-09-04 16:00:00,2019-09-04 19:30:00,3.508888888888889,18.018,70.0,100.0,1.0,0
5,553271,259,2019-09-04 16:10:00,2019-09-04 16:30:00,0.3222222222222222,0.9828,15.0,20.0,1.0,0
6,553274,259,2019-09-04 18:40:00,2019-09-04 20:00:00,1.4944444444444445,1.96,15.0,30.0,1.0,0
7,553276,307,2019-09-04 21:00:00,2019-09-04 21:20:00,0.2163888888888888,1.8564,15.0,30.0,1.0,0
8,553277,259,2019-09-05 00:40:00,2019-09-05 00:50:00,0.2386111111111111,1.4742,15.0,25.0,1.0,0
9,553280,265,2019-09-05 14:40:00,2019-09-06 00:10:00,9.578611111111112,28.08,55.0,100.0,1.0,32
10,553281,224,2019-09-05 16:40:00,2019-09-05 20:50:00,4.004166666666666,18.954,70.0,100.0,1.0,0
11,553282,307,2019-09-06 12:20:00,2019-09-06 12:50:00,0.5444444444444444,0.546,15.0,20.0,1.0,0
12,553283,307,2019-09-06 16:20:00,2019-09-06 16:30:00,0.2052777777777777,1.96,15.0,30.0,1.0,0
13,553284,307,2019-09-09 08:30:00,2019-09-09 08:40:00,0.2388888888888889,0.6006,15.0,20.0,1.0,0
14,553285,259,2019-09-09 08:40:00,2019-09-09 08:40:00,0.0386111111111111,0.6006,15.0,20.0,1.0,64
15,553287,313,2019-09-09 09:30:00,2019-09-09 09:50:00,0.4497222222222222,1.96,15.0,25.0,1.0,0
16,553288,334,2019-09-09 09:40:00,2019-09-09 10:20:00,0.7,0.7644,15.0,20.0,1.0,0
17,553289,313,2019-09-09 10:10:00,2019-09-09 10:20:00,0.2052777777777777,1.96,15.0,30.0,1.0,0
18,553293,259,2019-09-09 15:00:00,2019-09-09 15:10:00,0.15,0.6006,15.0,20.0,1.0,0
